Invoice No.,Item Name
19278,"['Cafe Latte (250 ML)', 'Hazelnut Frappe (350 ML)', 'Baked Vada Pav', 'Add On Syrup (Add On hazelnuts Syrup)']"
19279,['ESPRESSO (30 ML)']
19280,"['Classic Frappe (350 ML)', 'Rosella Cheesecake Berliner', 'Hazelnut Frappe (350 ML)', 'Berliners (Dark Choco Mousse Berliner)', 'South Indian Filter Kaapi (150 ML)']"
19281,"['Sea Salt Dark Mocha Frappe (450 ML)', 'Berliners (Blueberry Cheese Cake Berliner)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (Kacha Nimbu Tartlet)', 'Mix Tartlet 3 Pcs (kodai cheese tartlet)']"
19282,['Baked Vada Pav']
19283,"['Cappucino (350 ML)', 'ALMOND MILK (200 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
19284,['Iced Latte (350 ML)']
19285,"['Kaapicino (250 ML)', 'Espresso Tonic (Tonic Water)']"
19286,"['South Indian Filter Kaapi (150 ML)', 'Americano (250 ML)', 'Kaapicino (250 ML)', 'Papparoti (Plain)']"
19287,['Hot Chocolate (350 ML)']
19288,"['Cappucino (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Baked Vada Pav', 'Berliners (Nutella Berliner)']"
19289,"['Cappucino (250 ML)', 'Cappucino (250 ML)']"
19290,['Iced Latte (350 ML)']
19291,"['Vietnamese (350 ML)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)']"
19292,['Classic Frappe (350 ML)']
19293,"['Vanilla Praline (350 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
19294,"['South Indian Filter Kaapi (250 ML)', 'Iced Latte (350 ML)']"
19295,['Sea Salt Dark Mocha Frappe (450 ML)']
19296,"['Cappucino (250 ML)', 'Iced Mocha (350 ML)', 'Whole Wheat Ladi Pav 4 Pc']"
19297,"['Iced Latte (350 ML)', 'Rosella Cheesecake Berliner', 'Berliners (Dark Choco Mousse Berliner)', 'Berliners (Blueberry Cheese Cake Berliner)']"
19298,"['Hyderabadi Chicken Keema Pav', 'Berliners (Blueberry Cheese Cake Berliner)', 'Berliners (Nutella Berliner)', 'South Indian Filter Kaapi (150 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
19299,['South Indian Filter Kaapi (250 ML)']
19300,['South Indian Filter Kaapi (150 ML)']
19301,"['Vanilla Praline (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
19302,"['Baked Vada Pav', 'Madagascar Chocochip Frappe (350 ML)', 'South Indian Filter Kaapi (150 ML)', 'Calzones Veg (Calzone Veg)']"
19303,"['Vietnamese (350 ML)', 'Baked Vada Pav']"
19304,"['Americano (250 ML)', 'Iced Americano (350 ML)', 'Kodai Shroom 250 GM']"
