Invoice No.,Item Name
C2303,"['South Indian Filter Kaapi (150 ML)', 'Baked Pav Bhaji']"
C2304,['Vietnamese (350 ML)']
C2305,"['South Indian Filter Kaapi (150 ML)', 'Baked Pav Bhaji']"
C2306,"['Iced Americano (350 ML)', 'Baked Pav Bhaji']"
C2307,['Papparoti (Add On Nutella sauce)']
C2308,['Madagascar Hot Chocolate (250 ML)']
C2309,"['Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Dark Choco Mousse Berliner)']"
C2310,['South Indian Filter Kaapi (150 ML)']
C2311,"['Baked Pav Bhaji', 'Baked Vada Pav']"
C2312,['Origanal South Indian Frappe (350 ML)']
C2313,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2314,"['Baked Pav Bhaji', 'Hyderabadi Chicken Keema Pav', 'South Indian Filter Kaapi (150 ML)', 'Americano (250 ML)']"
C2315,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
